title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Min. finasija,3435915,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Hercegovačko-neretvanski kanton
Ured/kabinet predsjednika Vlade HNŽ/K,2979910,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Hercegovačko-neretvanski kanton
Skupština HNŽ/K,1624485,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Hercegovačko-neretvanski kanton
Arhiv,328953,2013,01,Rad Vlade,01.3,Zajednički poslovi,01.3.3,Ostali zajednički poslovi,Hercegovačko-neretvanski kanton
Ured za zakonodavstvo,115464,2013,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Hercegovačko-neretvanski kanton
MUP HNŽ/K,33106941,2013,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Hercegovačko-neretvanski kanton
Min. pravosuđa i uprave,12507914,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Hercegovačko-neretvanski kanton
Uprava za CZ i vatrogastvo,740924,2013,03,Red i sigurnost,03.2,Vatrogasci,03.2.0,Vatrogasci,Hercegovačko-neretvanski kanton
Min. za pitanje branitelja/boraca,2054777,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Hercegovačko-neretvanski kanton
Uprava za progn. i izbjeg.,349886,2013,10,Penzije i socijalno,10.7,Socijalna politika,10.7.0,Socijalna politika,Hercegovačko-neretvanski kanton
Osnovno obrazovanje,38347149,2013,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.2,Osnovne škole,Hercegovačko-neretvanski kanton
Srednje obrazovanje,25133427,2013,09,Obrazovanje,09.2,Srednje škole,09.2.2,Srednje škole,Hercegovačko-neretvanski kanton
Visoko obrazovanje,7513634,2013,09,Obrazovanje,09.4,Univerziteti,09.4.2,Univerziteti,Hercegovačko-neretvanski kanton
"Min. prosvj., nauke i kult.",3265451,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Hercegovačko-neretvanski kanton
Pedagoški zavod Mostar,411742,2013,09,Obrazovanje,09.8,Administracija obrazovanja,09.8.0,Administracija obrazovanja,Hercegovačko-neretvanski kanton
Zavod za školstvo Mostar,409915,2013,09,Obrazovanje,09.8,Administracija obrazovanja,09.8.0,Administracija obrazovanja,Hercegovačko-neretvanski kanton
"Min. zdravstva, rada i soc. skrb.",13593025,2013,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Hercegovačko-neretvanski kanton
"Kultura, šport i teološki institut",668428,2013,08,Kultura i religija,08.6,Administracija kulture i religije,08.6.0,Administracija kulture i religije,Hercegovačko-neretvanski kanton
Narodna knjižnica/biblioteka,216429,2013,08,Kultura i religija,08.2,Kultura,08.2.0,Kultura,Hercegovačko-neretvanski kanton
Zavod za zaštitu kul. povj. baštine,113208,2013,08,Kultura i religija,08.2,Kultura,08.2.0,Kultura,Hercegovačko-neretvanski kanton
"Min. poljopr., šuma i vodoprivr.",6413610,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Hercegovačko-neretvanski kanton
Min. prometa i veza,5828751,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Hercegovačko-neretvanski kanton
"Min. trgov., turiz i zaštite okoliša",1598448,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Hercegovačko-neretvanski kanton
Min. gospodarstva/privrede,1369801,2013,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Hercegovačko-neretvanski kanton
Min. graditelj. i prostornog uređenj.,1434003,2013,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Hercegovačko-neretvanski kanton
Uprava za geo. i imov.-pravn. poslove,344059,2013,06,Naše ulice,06.1,Stambeno,06.1.0,Stambeno,Hercegovačko-neretvanski kanton
